title,comment_count,averge_price,type,area,recommend,group_purchase,preferential
解家河南菜(瑞达路店),1337,￥75,豫菜,瑞达路沿线,南湾鱼一鱼两吃， 烙馍四宝拼， 大烩菜,解家河南菜!解家臻享8人餐,无
巴奴毛肚火锅概念餐厅,2530,￥138,重庆火锅,经三路沿线,经典毛肚， 茴香小油条， 野山菌汤,巴奴毛肚火锅!【入会即享】红糖糍粑,有
质子咖啡Cafe Proton,1013,￥46,咖啡,熙地港/王府井,dirty， 黛安娜咖啡， 拿铁,无,无
东田之村自助餐厅(金水路店),2241,￥229,海鲜自助,曼哈顿广场/英协路,豪华刺身拼盘， 法式鹅肝， 杏仁豆腐,东田之村自助餐厅!【东田严选】单人自助（进阶款）,无
PAULANER普拉那德国啤酒花园(千玺广场店),1647,￥114,西餐,郑东新区CBD,德国啤酒， 巴伐利亚特色肉肠拼盘（8p）， 德国猪肘子,PAULANER普拉那德国啤酒花园!仅售227元！价值372元的德式甄选双人餐。,无
蓉亭食贝(时光里店),3765,￥75,川菜馆,龙子湖校区,蓉派招牌毛血旺， 蓉派招牌豆花鱼， 蓉派鸡丝凉面,蓉亭食贝!乡巴佬茄子,无
阿庄新豫菜(南龙湖店),1271,￥83,豫菜,奥特莱斯/锦艺城,虾锅贴， 酥香嫩烤鸭， 红烧黄河大鲤鱼,阿庄新豫菜!仅售95元！价值100元的代金券1张，可叠加使用。,无
白石的烧肉酒场(海汇港店),5458,￥134,日式烧烤/烤肉,郑州东站,和牛雪花牛小排， 雪花肥牛寿喜烧， 和牛上脑,白石的烧肉酒场!仅售95元！价值100元的代金券1张，可叠加使用，可免费使用包间。,无
兮时东南亚X江西创意餐酒,566,￥85,创意菜,金水万达/蓝堡湾,老成都空运牛肉条， 蜜桃乌龙茶， 柚见茶香,兮时东南亚X江西创意餐酒!【特色专享】创意双人餐（工作日限时售卖）,无
蒋阿侨挞挞面(大上海店),3226,￥22,粉面馆,火车站/二七广场,香辣挞挞面， 野山菌挞挞面， 烧汁干拌牛肉挞面,蒋阿侨挞挞面!仅售59元！价值66元的豪华双人套餐。,无
粉·绿GREEN&PINK Cafe(政二街店),913,￥51,咖啡,金水路/省政府,提拉米苏， 椰香Dirty， 恰巴塔三明治,粉·绿GREEN&PINK Cafe!仅售388元！价值534元的【店庆】饮品/甜点/面包5-6人餐。,无
豆捞坊·鲜牛肉火锅(大卫城总店),6418,￥100,潮汕牛肉火锅,丹尼斯·大卫城,潮汕手打鲜牛肉丸， 鲜切吊龙， 招牌炸豆皮,豆捞坊·鲜牛肉火锅!【特色产品】香辣牛筋牛腩,无
安与沫法式甜品,741,￥44,甜品,郑东新区CBD,拿破仑， 手工马卡龙， 蒙布朗,安与沫法式甜品!巴斯克芝士,无
喜茶(郑州正弘城店),2515,￥22,茶饮果汁,正弘中心,多肉葡萄(首创)， 轻芝莓莓， 酷黑莓桑（首创）,喜茶!英红·芝士糯糯,无
葭荷粗粮小厨(百福街店),4074,￥50,豫菜,东建材,八宝烤南瓜， 招牌酱焖鱼， 烙馍四小样,葭荷粗粮小厨!【葭荷家宴】品味河南8人餐,无
小拙匠火锅(建业路店),2988,￥76,火锅,建业路/英协花园,手打虾滑， 牛油骨汤金汤， 招牌肥牛,小拙匠火锅!【围炉开涮】欢聚六人餐（可用包间）,无
